matrix,source_model,model_key,source_layer,layer_group,transformer_block,module,shape_family,method,pruning_family,target_sparsity,pruning_block_size,rows,cols,nnz,realized_sparsity,mask_sha256_16,activation_calibration
mistral7b_v03_l08_q_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.8.self_attn.q_proj.weight,mistral7b_v03_block_08,8,q_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,f34a73b4e28a4aa6,
mistral7b_v03_l08_q_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.8.self_attn.q_proj.weight,mistral7b_v03_block_08,8,q_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,482bfdd8ab405e37,mistral7b_v03.npz
mistral7b_v03_l08_q_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.8.self_attn.q_proj.weight,mistral7b_v03_block_08,8,q_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,dde13537951acc44,
mistral7b_v03_l08_q_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.8.self_attn.q_proj.weight,mistral7b_v03_block_08,8,q_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,0bfb684427924385,mistral7b_v03.npz
mistral7b_v03_l13_o_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.o_proj.weight,mistral7b_v03_block_13,13,o_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,c7d0f81c7b1a4465,
mistral7b_v03_l13_o_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.o_proj.weight,mistral7b_v03_block_13,13,o_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,127ddad46827e753,mistral7b_v03.npz
mistral7b_v03_l13_o_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.o_proj.weight,mistral7b_v03_block_13,13,o_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,9e0ffb2be08e0d7d,
mistral7b_v03_l13_o_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.o_proj.weight,mistral7b_v03_block_13,13,o_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,a7a9d5ace260e296,mistral7b_v03.npz
mistral7b_v03_l13_o_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.o_proj.weight,mistral7b_v03_block_13,13,o_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,7875625cc24519b1,
mistral7b_v03_l13_o_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.o_proj.weight,mistral7b_v03_block_13,13,o_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,34ff15664825442b,mistral7b_v03.npz
mistral7b_v03_l13_q_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.q_proj.weight,mistral7b_v03_block_13,13,q_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,cc4f4ed08ada9c88,
mistral7b_v03_l13_q_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.q_proj.weight,mistral7b_v03_block_13,13,q_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,9a4c45d6f4d6aa66,mistral7b_v03.npz
mistral7b_v03_l13_q_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.q_proj.weight,mistral7b_v03_block_13,13,q_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,fad1207e0b3088d1,
mistral7b_v03_l13_q_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.q_proj.weight,mistral7b_v03_block_13,13,q_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,e41d3c8fdc9fdf85,mistral7b_v03.npz
mistral7b_v03_l13_q_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.q_proj.weight,mistral7b_v03_block_13,13,q_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,fcd95f90a8fbfcbb,
mistral7b_v03_l13_q_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.13.self_attn.q_proj.weight,mistral7b_v03_block_13,13,q_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,4139c46faab1f274,mistral7b_v03.npz
mistral7b_v03_l18_o_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.o_proj.weight,mistral7b_v03_block_18,18,o_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,041760b42ad85a96,
mistral7b_v03_l18_o_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.o_proj.weight,mistral7b_v03_block_18,18,o_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,b035fea20cf1e7fe,mistral7b_v03.npz
mistral7b_v03_l18_o_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.o_proj.weight,mistral7b_v03_block_18,18,o_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,c8e77cc22097b5dd,
mistral7b_v03_l18_o_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.o_proj.weight,mistral7b_v03_block_18,18,o_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,0ef76e131855ecaf,mistral7b_v03.npz
mistral7b_v03_l18_o_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.o_proj.weight,mistral7b_v03_block_18,18,o_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,dd4e27fc5148072a,
mistral7b_v03_l18_o_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.o_proj.weight,mistral7b_v03_block_18,18,o_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,eaec967dfbbe88f9,mistral7b_v03.npz
mistral7b_v03_l18_q_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.q_proj.weight,mistral7b_v03_block_18,18,q_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,9a9d735957250fd6,
mistral7b_v03_l18_q_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.q_proj.weight,mistral7b_v03_block_18,18,q_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,da9576208290a196,mistral7b_v03.npz
mistral7b_v03_l18_q_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.q_proj.weight,mistral7b_v03_block_18,18,q_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,0524ab3e9047cf42,
mistral7b_v03_l18_q_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.q_proj.weight,mistral7b_v03_block_18,18,q_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,45f7cbdc73088bb8,mistral7b_v03.npz
mistral7b_v03_l18_q_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.q_proj.weight,mistral7b_v03_block_18,18,q_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,e5b2a94547f93bf7,
mistral7b_v03_l18_q_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.18.self_attn.q_proj.weight,mistral7b_v03_block_18,18,q_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,352b7a6084526ef4,mistral7b_v03.npz
mistral7b_v03_l22_o_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.o_proj.weight,mistral7b_v03_block_22,22,o_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,2f72a12ca1d00480,
mistral7b_v03_l22_o_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.o_proj.weight,mistral7b_v03_block_22,22,o_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,acfad0aedbb99fc6,mistral7b_v03.npz
mistral7b_v03_l22_o_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.o_proj.weight,mistral7b_v03_block_22,22,o_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,17a166b44b03c35f,
mistral7b_v03_l22_o_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.o_proj.weight,mistral7b_v03_block_22,22,o_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,9a3d20c606bc9854,mistral7b_v03.npz
mistral7b_v03_l22_o_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.o_proj.weight,mistral7b_v03_block_22,22,o_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,49aaf99919e4d509,
mistral7b_v03_l22_o_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.o_proj.weight,mistral7b_v03_block_22,22,o_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,93f7d8174b1e79be,mistral7b_v03.npz
mistral7b_v03_l22_q_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.q_proj.weight,mistral7b_v03_block_22,22,q_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,8e6934e946951e1c,
mistral7b_v03_l22_q_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.q_proj.weight,mistral7b_v03_block_22,22,q_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,d1926c618ec4d14c,mistral7b_v03.npz
mistral7b_v03_l22_q_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.q_proj.weight,mistral7b_v03_block_22,22,q_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,6c366dd48cb09c33,
mistral7b_v03_l22_q_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.q_proj.weight,mistral7b_v03_block_22,22,q_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,45118c57539c2484,mistral7b_v03.npz
mistral7b_v03_l22_q_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.q_proj.weight,mistral7b_v03_block_22,22,q_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,ef5e8e1ca2f0d513,
mistral7b_v03_l22_q_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.22.self_attn.q_proj.weight,mistral7b_v03_block_22,22,q_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,addeb6ed4d291ddf,mistral7b_v03.npz
mistral7b_v03_l27_o_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.o_proj.weight,mistral7b_v03_block_27,27,o_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,46a8c766b9cdb4b2,
mistral7b_v03_l27_o_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.o_proj.weight,mistral7b_v03_block_27,27,o_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,a463b2ef0517e2e8,mistral7b_v03.npz
mistral7b_v03_l27_o_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.o_proj.weight,mistral7b_v03_block_27,27,o_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,5f0855842372ea25,
mistral7b_v03_l27_o_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.o_proj.weight,mistral7b_v03_block_27,27,o_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,276b3c80d83f2c7d,mistral7b_v03.npz
mistral7b_v03_l27_o_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.o_proj.weight,mistral7b_v03_block_27,27,o_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,cbce996a2e33dba7,
mistral7b_v03_l27_o_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.o_proj.weight,mistral7b_v03_block_27,27,o_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,f2f464a5a5296105,mistral7b_v03.npz
mistral7b_v03_l27_q_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.q_proj.weight,mistral7b_v03_block_27,27,q_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,a663fda3d2b566a5,
mistral7b_v03_l27_q_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.q_proj.weight,mistral7b_v03_block_27,27,q_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,a1450977502de255,mistral7b_v03.npz
mistral7b_v03_l27_q_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.q_proj.weight,mistral7b_v03_block_27,27,q_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,305ac4d96e77f54f,
mistral7b_v03_l27_q_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.q_proj.weight,mistral7b_v03_block_27,27,q_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,6685c085ee409e2d,mistral7b_v03.npz
mistral7b_v03_l27_q_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.q_proj.weight,mistral7b_v03_block_27,27,q_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,760a77bb3a223aec,
mistral7b_v03_l27_q_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.27.self_attn.q_proj.weight,mistral7b_v03_block_27,27,q_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,64a0053a226d4c53,mistral7b_v03.npz
mistral7b_v03_l31_o_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.o_proj.weight,mistral7b_v03_block_31,31,o_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,70839ee34a6f8084,
mistral7b_v03_l31_o_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.o_proj.weight,mistral7b_v03_block_31,31,o_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,ac28dd156bbcb561,mistral7b_v03.npz
mistral7b_v03_l31_o_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.o_proj.weight,mistral7b_v03_block_31,31,o_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,57b53cc159af9963,
mistral7b_v03_l31_o_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.o_proj.weight,mistral7b_v03_block_31,31,o_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,2a441c6a11be86b3,mistral7b_v03.npz
mistral7b_v03_l31_o_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.o_proj.weight,mistral7b_v03_block_31,31,o_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,b0857f2fd8250482,
mistral7b_v03_l31_o_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.o_proj.weight,mistral7b_v03_block_31,31,o_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,9eba7bdc3d1da8f7,mistral7b_v03.npz
mistral7b_v03_l31_q_proj_global_mag_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.q_proj.weight,mistral7b_v03_block_31,31,q_proj,4096x4096,global_mag_s70,unstructured,0.7,,4096,4096,5033165,0.699999988079071,d5b78bb78d679570,
mistral7b_v03_l31_q_proj_wanda_s70,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.q_proj.weight,mistral7b_v03_block_31,31,q_proj,4096x4096,wanda_s70,activation_aware_unstructured,0.7,,4096,4096,5033165,0.699999988079071,6fe714389017d4c8,mistral7b_v03.npz
mistral7b_v03_l31_q_proj_global_mag_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.q_proj.weight,mistral7b_v03_block_31,31,q_proj,4096x4096,global_mag_s80,unstructured,0.8,,4096,4096,3355443,0.800000011920929,3ed91d911256c501,
mistral7b_v03_l31_q_proj_wanda_s80,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.q_proj.weight,mistral7b_v03_block_31,31,q_proj,4096x4096,wanda_s80,activation_aware_unstructured,0.8,,4096,4096,3355443,0.800000011920929,08d0571209991f4f,mistral7b_v03.npz
mistral7b_v03_l31_q_proj_global_mag_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.q_proj.weight,mistral7b_v03_block_31,31,q_proj,4096x4096,global_mag_s90,unstructured,0.9,,4096,4096,1677722,0.8999999761581421,811bade53193a708,
mistral7b_v03_l31_q_proj_wanda_s90,Mistral-7B-v0.3,mistral7b_v03,model.layers.31.self_attn.q_proj.weight,mistral7b_v03_block_31,31,q_proj,4096x4096,wanda_s90,activation_aware_unstructured,0.9,,4096,4096,1677722,0.8999999761581421,50cef2b329aaf34b,mistral7b_v03.npz
qwen25_3b_l01_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.o_proj.weight,qwen25_3b_block_01,1,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,bd3f10c90b1ae51b,
qwen25_3b_l01_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.o_proj.weight,qwen25_3b_block_01,1,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,ba7f4685a0446a3d,qwen25_activation_rms_16prompts.npz
qwen25_3b_l01_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.o_proj.weight,qwen25_3b_block_01,1,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,3a05fead61f97c23,
qwen25_3b_l01_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.o_proj.weight,qwen25_3b_block_01,1,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,f1ba2740f5afc76d,qwen25_activation_rms_16prompts.npz
qwen25_3b_l01_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.o_proj.weight,qwen25_3b_block_01,1,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,923952df19ed8f83,
qwen25_3b_l01_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.o_proj.weight,qwen25_3b_block_01,1,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,15881b2e9fe0dc6b,qwen25_activation_rms_16prompts.npz
qwen25_3b_l01_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.q_proj.weight,qwen25_3b_block_01,1,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,8826b08bee0ae54f,
qwen25_3b_l01_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.q_proj.weight,qwen25_3b_block_01,1,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,deb34c72cf55835f,qwen25_activation_rms_16prompts.npz
qwen25_3b_l01_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.q_proj.weight,qwen25_3b_block_01,1,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,16d66f93407db0e8,
qwen25_3b_l01_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.q_proj.weight,qwen25_3b_block_01,1,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,e232ed5a5675a32b,qwen25_activation_rms_16prompts.npz
qwen25_3b_l01_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.q_proj.weight,qwen25_3b_block_01,1,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,9992d61bf1f9c18c,
qwen25_3b_l01_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.1.self_attn.q_proj.weight,qwen25_3b_block_01,1,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,60ff924d41fc7e1d,qwen25_activation_rms_16prompts.npz
qwen25_3b_l02_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.o_proj.weight,qwen25_3b_block_02,2,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,ff9396e29fef8b07,
qwen25_3b_l02_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.o_proj.weight,qwen25_3b_block_02,2,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,7335f3e7058ea5a2,qwen25_activation_rms_16prompts.npz
qwen25_3b_l02_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.o_proj.weight,qwen25_3b_block_02,2,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,d4e20d1478dda77c,
qwen25_3b_l02_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.o_proj.weight,qwen25_3b_block_02,2,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,c9931b311fd0c165,qwen25_activation_rms_16prompts.npz
qwen25_3b_l02_o_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.o_proj.weight,qwen25_3b_block_02,2,o_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,8ef0d1f25767b5f6,
qwen25_3b_l02_o_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.o_proj.weight,qwen25_3b_block_02,2,o_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,2bc99148d9f49384,qwen25_activation_rms_16prompts.npz
qwen25_3b_l02_q_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.q_proj.weight,qwen25_3b_block_02,2,q_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,205e5913d6ac2dc6,
qwen25_3b_l02_q_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.q_proj.weight,qwen25_3b_block_02,2,q_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,6ad492204a5fb633,qwen25_activation_rms_16prompts.npz
qwen25_3b_l02_q_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.q_proj.weight,qwen25_3b_block_02,2,q_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,e0ca3948ab6696fd,
qwen25_3b_l02_q_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.q_proj.weight,qwen25_3b_block_02,2,q_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,b1b978e77a33eb6e,qwen25_activation_rms_16prompts.npz
qwen25_3b_l02_q_proj_global_mag_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.q_proj.weight,qwen25_3b_block_02,2,q_proj,2048x2048,global_mag_s90,unstructured,0.9,,2048,2048,419430,0.9000000953674316,36547bab78d2e087,
qwen25_3b_l02_q_proj_wanda_s90,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.2.self_attn.q_proj.weight,qwen25_3b_block_02,2,q_proj,2048x2048,wanda_s90,activation_aware_unstructured,0.9,,2048,2048,419430,0.9000000953674316,6e900ea8aac66266,qwen25_activation_rms_16prompts.npz
qwen25_3b_l03_o_proj_global_mag_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.3.self_attn.o_proj.weight,qwen25_3b_block_03,3,o_proj,2048x2048,global_mag_s70,unstructured,0.7,,2048,2048,1258291,0.7000000476837158,c277eb951de50212,
qwen25_3b_l03_o_proj_wanda_s70,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.3.self_attn.o_proj.weight,qwen25_3b_block_03,3,o_proj,2048x2048,wanda_s70,activation_aware_unstructured,0.7,,2048,2048,1258291,0.7000000476837158,8e973e87c7bb5543,qwen25_activation_rms_16prompts.npz
qwen25_3b_l03_o_proj_global_mag_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.3.self_attn.o_proj.weight,qwen25_3b_block_03,3,o_proj,2048x2048,global_mag_s80,unstructured,0.8,,2048,2048,838861,0.7999999523162842,c55fd7abea3e2052,
qwen25_3b_l03_o_proj_wanda_s80,Qwen2.5-3B-Instruct,qwen25_3b,model.layers.3.self_attn.o_proj.weight,qwen25_3b_block_03,3,o_proj,2048x2048,wanda_s80,activation_aware_unstructured,0.8,,2048,2048,838861,0.7999999523162842,dc38a72b0c395977,qwen25_activation_rms_16prompts.npz
